Date,Cases
2021-02-12,229
2021-02-13,212
2021-02-14,149
2021-02-15,482
2021-02-16,472
2021-02-17,446
2021-02-18,519
2021-02-19,596
2021-02-20,380
2021-02-21,284
2021-02-22,840
2021-02-23,791
2021-02-24,813
2021-02-25,606
2021-02-26,798
2021-02-27,542
2021-02-28,435
2021-03-01,1096
2021-03-02,1084
2021-03-03,1272
2021-03-04,1294
2021-03-05,1618
2021-03-06,1145
2021-03-07,755
2021-03-08,1935
2021-03-09,1868
2021-03-10,2163
2021-03-11,2224
2021-03-12,2720
2021-03-13,2258
2021-03-14,1449
2021-03-15,3884
2021-03-16,3797
2021-03-17,4077
2021-03-18,4275
2021-03-19,4000
2021-03-20,3022
2021-03-21,1907
2021-03-22,6075
2021-03-23,5498
2021-03-24,5905
2021-03-25,5585
2021-03-26,6297
2021-03-27,4424
2021-03-28,2390
2021-03-29,6284
2021-03-30,6287
2021-03-31,5091
2021-04-01,2056
2021-04-02,531
2021-04-04,1
